loop_size,tick,time
1629088,11407648,3.688045
4532146,31905984,10.315073
3502661,24528024,7.929809
3070858,21501256,6.951267
1831374,12823752,4.145866
3230242,22623824,7.314189
2704797,18941260,6.123631
4319756,30246080,9.778432
2577553,18246948,5.899163
1977307,13845236,4.476107
2304053,16133840,5.216004
3917440,27432916,8.868948
3554616,24893540,8.047978
4939378,34591812,11.183390
2352971,16480192,5.327978
4590241,32141488,10.391210
1544298,10814652,3.496332
2643151,18506516,5.983080
1021634,7657264,2.475562
4133127,29782396,9.628525
4097544,28775172,9.302894
2174712,15226912,4.922798
1458671,10214628,3.302347
4462139,31244040,10.101069
3884023,27202580,8.794481
1196649,8376556,2.708106
2796420,19585496,6.331910
4945868,35459892,11.464036
3831636,26829192,8.673767
1843531,12908796,4.173360
2895575,20366588,6.584434
4460724,31791848,10.278173
1375678,9633744,3.114550
1398237,10011672,3.236732
2531583,17724884,5.730382
2207052,15453508,4.996055
3628479,25413400,8.216047
4236381,30487596,9.856514
1526808,10693112,3.457039
1206033,8447544,2.731056
1213689,8495832,2.746667
2830862,19825088,6.409369
4123473,28871896,9.334164
3768305,27068256,8.751055
2770240,19415916,6.277085
1476445,10385160,3.357479
3358546,23519096,7.603626
3314539,23211276,7.504109
3119596,22618280,7.312396
3380181,24511288,7.924398
2447667,17141464,5.541764
2217141,15931336,5.150535
4554893,31901036,10.313473
2906338,20349672,6.578965
1679281,11760492,3.802118
3438916,24083172,7.785990
3102988,21735264,7.026921
3475701,24338040,7.868388
3384784,23701428,7.662574
1934624,13547248,4.379769
4319233,30242628,9.777316
1280360,8966148,2.898719
1395349,9772284,3.159339
4694911,32871176,10.627115
1678598,11753580,3.799884
2926933,20495436,6.626090
1901963,13318412,4.305787
4307077,30162744,9.751490
2163314,15423476,4.986346
2428772,17005040,5.497659
4513110,31603192,10.217181
2377003,16642428,5.380428
4259634,29827624,9.643147
3636584,26288832,8.499071
1145309,8017176,2.591920
2029875,14212484,4.594837
4113029,28805244,9.312616
3503856,24535136,7.932108
4344414,30419044,9.834351
2232626,15631668,5.053654
1884037,13194756,4.265810
1792082,12631660,4.083763
3449768,24156560,7.809716
1438930,10072520,3.256404
3698420,25895508,8.371911
4129049,28916176,9.348480
3877847,27151776,8.778057
1801409,12616260,4.078785
2604750,18238740,5.896509
2262632,15846716,5.123178
2736034,19156836,6.193326
1923983,13471332,4.355226
2542992,17813536,5.759042
3131383,21928228,7.089305
1618895,11332276,3.663678
3221590,22559016,7.293236
1058317,7413148,2.396640
2520858,17650712,5.706402
2528668,17709052,5.725263
2221632,15556208,5.029258
3949630,28340052,9.162221
2041779,14297688,4.622383
3598635,25202596,8.147895
3209265,22676476,7.331211
4678363,32761312,10.591597
3743945,26217408,8.475979
4239141,29686220,9.597432
3791392,26631492,8.609851
2247801,15808836,5.110931
3583556,25516592,8.249409
1024019,7172796,2.318935
3131839,21927644,7.089117
4375638,30642508,9.906596
3473787,24325168,7.864226
3570770,25005012,8.084017
3074059,21526704,6.959494
2602836,18224932,5.892045
2448617,17144032,5.542595
3875468,27141440,8.774715
4207586,29472808,9.528437
3711249,25986056,8.401184
1611503,11284480,3.648226
1131570,7924536,2.561970
1254242,8779704,2.838442
3742887,26208476,8.473092
1750465,12258136,3.963005
3475833,24340712,7.869251
3801204,26627144,8.608445
3271324,22905320,7.405195
1004501,7036808,2.274971
1022836,7165200,2.316479
